
时间,下料开始,上料开始,CNC#
0,0,1,1
28,0,2,2
79,0,3,3
107,0,4,4
158,0,5,5
186,0,6,6
237,0,7,7
265,0,8,8
588,1,9,1
641,2,10,2
717,3,11,3
770,4,12,4
846,5,13,5
899,6,14,6
975,7,15,7
1028,8,16,8
1176,9,17,1
1232,10,18,2
1308,11,19,3
1361,12,20,4
1437,13,21,5
1490,14,22,6
1566,15,23,7
1619,16,24,8
1764,17,25,1
1823,18,26,2
1899,19,27,3
1952,20,28,4
2028,21,29,5
2081,22,30,6
2157,23,31,7
2210,24,32,8
2352,25,33,1
2414,26,34,2
2490,27,35,3
2543,28,36,4
2619,29,37,5
2672,30,38,6
2748,31,39,7
2801,32,40,8
2940,33,41,1
3005,34,42,2
3081,35,43,3
3134,36,44,4
3210,37,45,5
3263,38,46,6
3339,39,47,7
3392,40,48,8
3528,41,49,1
3596,42,50,2
3672,43,51,3
3725,44,52,4
3801,45,53,5
3854,46,54,6
3930,47,55,7
3983,48,56,8
4116,49,57,1
4187,50,58,2
4263,51,59,3
4316,52,60,4
4392,53,61,5
4445,54,62,6
4521,55,63,7
4574,56,64,8
4704,57,65,1
4778,58,66,2
4854,59,67,3
4907,60,68,4
4983,61,69,5
5036,62,70,6
5112,63,71,7
5165,64,72,8
5292,65,73,1
5369,66,74,2
5445,67,75,3
5498,68,76,4
5574,69,77,5
5627,70,78,6
5703,71,79,7
5756,72,80,8
5880,73,81,1
5960,74,82,2
6036,75,83,3
6089,76,84,4
6165,77,85,5
6218,78,86,6
6294,79,87,7
6347,80,88,8
6468,81,89,1
6551,82,90,2
6627,83,91,3
6680,84,92,4
6756,85,93,5
6809,86,94,6
6885,87,95,7
6938,88,96,8
7056,89,97,1
7142,90,98,2
7218,91,99,3
7271,92,100,4
7347,93,101,5
7400,94,102,6
7476,95,103,7
7529,96,104,8
7644,97,105,1
7733,98,106,2
7809,99,107,3
7862,100,108,4
7938,101,109,5
7991,102,110,6
8067,103,111,7
8120,104,112,8
8232,105,113,1
8324,106,114,2
8400,107,115,3
8453,108,116,4
8529,109,117,5
8582,110,118,6
8658,111,119,7
8711,112,120,8
8820,113,121,1
8915,114,122,2
8991,115,123,3
9044,116,124,4
9120,117,125,5
9173,118,126,6
9249,119,127,7
9302,120,128,8
9408,121,129,1
9506,122,130,2
9582,123,131,3
9635,124,132,4
9711,125,133,5
9764,126,134,6
9840,127,135,7
9893,128,136,8
9996,129,137,1
10097,130,138,2
10173,131,139,3
10226,132,140,4
10302,133,141,5
10355,134,142,6
10431,135,143,7
10484,136,144,8
10586,137,145,1
10688,138,146,2
10764,139,147,3
10817,140,148,4
10893,141,149,5
10946,142,150,6
11022,143,151,7
11075,144,152,8
11177,145,153,1
11279,146,154,2
11355,147,155,3
11408,148,156,4
11484,149,157,5
11537,150,158,6
11613,151,159,7
11666,152,160,8
11768,153,161,1
11870,154,162,2
11946,155,163,3
11999,156,164,4
12075,157,165,5
12128,158,166,6
12204,159,167,7
12257,160,168,8
12359,161,169,1
12461,162,170,2
12537,163,171,3
12590,164,172,4
12666,165,173,5
12719,166,174,6
12795,167,175,7
12848,168,176,8
12950,169,177,1
13052,170,178,2
13128,171,179,3
13181,172,180,4
13257,173,181,5
13310,174,182,6
13386,175,183,7
13439,176,184,8
13541,177,185,1
13643,178,186,2
13719,179,187,3
13772,180,188,4
13848,181,189,5
13901,182,190,6
13977,183,191,7
14030,184,192,8
14132,185,193,1
14234,186,194,2
14310,187,195,3
14363,188,196,4
14439,189,197,5
14492,190,198,6
14568,191,199,7
14621,192,200,8
14723,193,201,1
14825,194,202,2
14901,195,203,3
14954,196,204,4
15030,197,205,5
15083,198,206,6
15159,199,207,7
15212,200,208,8
15314,201,209,1
