,0
0,-2903.8994529254396
1,-2907.7989058508797
2,-2911.6983587763198
3,-2915.59781170176
4,-2919.4972646271995
5,-2923.396717552639
6,-2927.296170478079
7,-2931.195623403519
8,-2935.0950763289593
9,-2938.994529254399
10,-2942.8939821798385
11,-2946.7934351052786
12,-2950.6928880307187
13,-2954.5923409561588
14,-2958.4917938815984
15,-2962.391246807038
16,-2966.290699732478
17,-2970.1901526579177
18,-2974.089605583358
19,-2977.989058508798
20,-2981.8885114342374
21,-2985.7879643596775
22,-2989.6874172851176
23,-2993.586870210557
24,-2997.4863231359973
25,-2907.6181633593133
26,-2915.236326718626
27,-2922.854490077939
28,-2930.4726534372517
29,-2938.090816796565
30,-2945.7089801558777
31,-2953.327143515191
32,-2960.9453068745033
33,-2968.5634702338166
34,-2976.1816335931294
35,-2983.7997969524426
36,-2991.4179603117555
37,-2907.7948267927422
38,-2915.5896535854845
39,-2923.384480378226
40,-2931.179307170968
41,-2938.9741339637103
42,-2946.7689607564525
43,-2954.563787549195
44,-2962.358614341936
45,-2970.1534411346784
46,-2977.9482679274206
47,-2985.743094720163
48,-2993.537921512905
49,-2911.816651462313
50,-2923.6333029246266
51,-2935.44995438694
52,-2947.266605849253
53,-2959.0832573115667
54,-2970.89990877388
55,-2982.716560236193
56,-2994.533211698507
57,-2911.6651824367996
58,-2923.330364873599
59,-2934.995547310399
60,-2946.6607297471987
61,-2958.325912183998
62,-2969.9910946207974
63,-2981.656277057597
64,-2993.321459494397
65,-3004.9866419311966
66,-4503.89945292544
67,-4507.798905850879
68,-4511.69835877632
69,-4515.597811701759
70,-4519.497264627199
71,-4523.3967175526395
72,-4527.296170478079
73,-4531.19562340352
74,-4535.095076328959
75,-4538.994529254399
76,-4542.8939821798385
77,-4546.793435105278
78,-4550.692888030719
79,-4554.592340956158
80,-4558.491793881598
81,-4562.391246807038
82,-4566.290699732478
83,-4570.190152657919
84,-4574.089605583358
85,-4577.989058508798
86,-4581.888511434237
87,-4585.787964359677
88,-4589.687417285118
89,-4593.586870210557
90,-4597.486323135998
91,-4507.618163359312
92,-4515.2363267186265
93,-4522.854490077939
94,-4530.472653437252
95,-4538.0908167965645
96,-4545.708980155878
97,-4553.327143515191
98,-4560.945306874503
99,-4568.5634702338175
100,-4576.18163359313
101,-4583.799796952442
102,-4591.417960311755
103,-4507.794826792741
104,-4515.5896535854845
105,-4523.384480378226
106,-4531.179307170969
107,-4538.97413396371
108,-4546.768960756452
109,-4554.563787549195
110,-4562.358614341936
111,-4570.153441134679
112,-4577.948267927421
113,-4585.743094720163
114,-4593.537921512905
115,-4511.8166514623135
116,-4523.633302924626
117,-4535.449954386941
118,-4547.266605849253
119,-4559.083257311567
120,-4570.89990877388
121,-4582.716560236193
122,-4594.533211698506
123,-4511.6651824368
124,-4523.330364873599
125,-4534.995547310399
126,-4546.660729747198
127,-4558.325912183998
128,-4569.991094620798
129,-4581.656277057597
130,-4593.3214594943975
131,-4604.986641931197
132,-7511.61885327343
133,-10523.23770654686
134,-9054.615954334253
135,-7266.925329941399
136,-10033.850659882797
137,-8634.086061898472
138,-7839.491692898431
139,-7355.3646414125415
140,-7574.329946775383
141,-4556.443498989784
142,-4612.886997979568
143,-4507.798905850879
144,-4515.597811701759
145,-4523.3967175526395
146,-4531.19562340352
147,-4538.994529254399
148,-4546.793435105278
149,-4554.592340956158
150,-4562.391246807038
151,-4570.190152657919
152,-4577.989058508798
153,-4585.787964359677
154,-4593.586870210557
155,-4515.2363267186265
156,-4519.045408398282
157,-4530.472653437252
158,-4538.0908167965645
159,-4545.708980155878
160,-4557.136225194848
161,-4560.945306874503
162,-4576.18163359313
163,-4576.18163359313
164,-4595.227041991412
165,-4591.417960311755
166,-4515.5896535854845
167,-4531.179307170969
168,-4546.768960756452
169,-4562.358614341936
170,-4577.948267927421
171,-4593.537921512905
172,-4523.633302924626
173,-4547.266605849253
174,-4570.89990877388
175,-4594.533211698506
