,0
0,-2903.8994529254396
1,-2907.7989058508797
2,-2911.6983587763198
3,-2915.59781170176
4,-2919.4972646271995
5,-2923.396717552639
6,-2927.296170478079
7,-2931.1956234035188
8,-2935.0950763289593
9,-2938.994529254399
10,-2942.8939821798385
11,-2946.7934351052786
12,-2950.692888030718
13,-2954.5923409561583
14,-2958.491793881598
15,-2962.391246807038
16,-2966.290699732478
17,-2970.1901526579177
18,-2974.0896055833578
19,-2977.9890585087974
20,-2981.8885114342374
21,-2985.787964359677
22,-2989.687417285117
23,-2993.586870210557
24,-2997.486323135997
25,-3368.4181633593125
26,-3356.836326718626
27,-3345.2544900779385
28,-3333.672653437252
29,-3322.0908167965645
30,-3310.5089801558775
31,-3298.9271435151904
32,-3287.3453068745034
33,-3275.7634702338164
34,-3264.1816335931294
35,-3252.5997969524424
36,-3241.0179603117554
37,-3598.994826792742
38,-3587.5896535854845
39,-3576.184480378226
40,-3564.779307170968
41,-3553.3741339637104
42,-3541.968960756452
43,-3530.5637875491943
44,-3519.1586143419363
45,-3507.7534411346783
46,-3496.3482679274202
47,-3484.9430947201627
48,-3473.5379215129046
49,-3814.216651462313
50,-3787.6333029246266
51,-3761.04995438694
52,-3734.466605849253
53,-3707.8832573115665
54,-3681.29990877388
55,-3654.716560236193
56,-3628.133211698506
57,-3967.6651824367996
58,-3940.9303648735995
59,-3914.1955473103985
60,-3887.460729747198
61,-3860.7259121839975
62,-3833.991094620798
63,-3807.256277057597
64,-3780.5214594943964
65,-3753.786641931196
66,-4171.099452925439
67,-4174.99890585088
68,-4178.89835877632
69,-4182.797811701759
70,-4186.697264627199
71,-2846.5967175526393
72,-2869.6961704780792
73,-2892.7956234035187
74,-2915.8950763289586
75,-2938.994529254399
76,-2962.093982179839
77,-2985.1934351052787
78,-3008.292888030718
79,-3031.392340956158
80,-3054.491793881598
81,-3077.5912468070383
82,-3100.690699732478
83,-3123.7901526579176
84,-3146.8896055833575
85,-3169.9890585087974
86,-3193.0885114342377
87,-3216.1879643596776
88,-3239.287417285117
89,-3262.386870210557
90,-3285.486323135997
91,-3675.618163359313
92,-3683.236326718626
93,-3690.854490077939
94,-3698.4726534372517
95,-3706.0908167965645
96,-3713.7089801558777
97,-3721.3271435151905
98,-3728.9453068745033
99,-3736.563470233816
100,-3744.1816335931294
101,-3751.799796952442
102,-3759.4179603117555
103,-4136.5948267927415
104,-4144.389653585485
105,-4152.184480378226
106,-2815.9793071709682
107,-2823.7741339637105
108,-2831.568960756452
109,-2839.363787549194
110,-2847.1586143419363
111,-2854.9534411346785
112,-2862.748267927421
113,-2870.543094720162
114,-2878.3379215129044
115,-3238.216651462313
116,-3230.833302924627
117,-3223.44995438694
118,-3216.066605849253
119,-3208.683257311566
120,-3201.29990877388
121,-3193.916560236193
122,-3186.5332116985064
123,-3545.2651824367995
124,-3537.7303648735992
125,-3530.1955473103985
126,-3522.6607297471983
127,-3515.125912183998
128,-3507.5910946207973
129,-3500.0562770575966
130,-3492.5214594943964
131,-3484.986641931196
132,-3781.4185678105277
133,-3664.437135621055
134,-3780.477381737841
135,-3879.4564856328307
136,-3745.312971265661
137,-3917.1123340179556
138,-3506.6916928984306
139,-3560.964641412542
140,-3630.829946775383
141,-2735.6434989897834
142,-2571.286997979567
143,-3042.19890585088
144,-3069.1978117017597
145,-3096.1967175526393
146,-3123.1956234035188
147,-3150.1945292543987
148,-3177.1934351052787
149,-3204.192340956158
150,-3231.191246807038
151,-3258.1901526579177
152,-3285.189058508797
153,-3312.1879643596776
154,-3339.186870210557
155,-3702.436326718626
156,-3744.645408398282
157,-3756.0726534372516
158,-3782.8908167965646
159,-3809.7089801558777
160,-3821.136225194847
161,-3863.345306874504
162,-3859.381633593129
163,-3916.9816335931296
164,-2572.8270419914115
165,-2645.817960311755
166,-3011.5896535854845
167,-3007.9793071709682
168,-3004.368960756452
169,-3000.758614341936
170,-2997.1482679274204
171,-2993.5379215129046
