,0
0,1691248.0776519484
1,1691505.7298789485
2,1691759.6318709864
3,1692009.7826832363
4,1692256.181384104
5,1692498.8270551688
6,1692737.718791302
7,1692972.8557005269
8,1693204.2369041287
9,1693431.8615365983
10,1693655.72874559
11,1693875.837692011
12,1694092.1875499322
13,1694304.7775066716
14,1694513.606762684
15,1694718.6745316419
16,1694919.9800403882
17,1695117.5225289725
18,1695311.3012506245
19,1695501.3154717123
20,1695687.564471825
21,1695870.0475437103
22,1696048.7639932476
23,1696223.71313953
24,1696394.8943147867
25,1696562.3068644134
26,1696725.9501469429
27,1696885.8235340884
28,1697041.9264106853
29,1697194.2581747512
30,1697342.8182373988
31,1697487.6060229333
32,1697628.6209687614
33,1697765.8625254403
34,1697899.3301566497
35,1698029.0233392161
36,1698154.9415630759
37,1698277.0843313076
38,1698395.45116007
39,1698510.041578702
40,1698620.855129621
41,1698727.8913683696
42,1698831.1498635681
43,1698930.630197026
44,1699026.331963553
45,1699118.2547711502
46,1699206.3982408757
47,1699290.762006903
48,1699371.3457164844
49,1699448.1490299916
50,1699521.1716208623
51,1699590.4131756253
52,1699655.8733939151
53,1699717.5519884476
54,1699775.448685008
55,1699829.5632224537
56,1699879.8953527424
57,1699926.444840883
58,1699969.211464982
59,1700008.195016195
60,1700043.3952987562
61,1700074.8121299702
62,1700102.4453401922
63,1700126.2947728503
64,1700146.3602844328
65,1700162.641744461
66,1700175.139035543
67,1700183.8520533366
68,1700188.7807065432
69,1700189.9249168937
70,1700187.2846191814
71,1700180.8597612733
72,1700170.6503040304
73,1700156.6562214
74,1700138.877500328
75,1700117.3141408123
76,1700091.9661558962
77,1700062.8335716606
78,1700029.916427182
79,1699993.214774603
80,1699952.7286790973
81,1699908.458218807
82,1699860.4034849883
83,1699808.5645818128
84,1699752.9416265755
85,1699693.5347495072
86,1699630.344093912
87,1699563.3698160937
88,1699492.6120853368
89,1699418.0710839673
90,1699339.7470073388
91,1699257.6400637627
92,1699171.7504745878
93,1699082.0784741696
94,1698988.624309853
95,1698891.3882419914
96,1698790.3705439065
97,1698685.571501988
98,1698576.991415558
99,1698464.630596952
100,1698348.4893715056
101,1698228.568077529
102,1698104.8670663426
103,1697977.3867022367
104,1697846.1273625013
105,1697711.0894373967
106,1697572.273330185
107,1697429.6794570948
108,1697283.3082473197
109,1697133.1601430888
